id|nome_portal|texto_postagem|comment|sentimento
1|g1|Alvará de soltura para Oruam é expedido, e cantor terá que usar tornozeleira e está proibido de ir ao Alemão; Poze vai a Bangu  |alvará de soltura para oruam é expedido, e cantor terá que usar tornozeleira e está proibido de ir ao alemão; poze vai a bangu|NEUTRO
1|g1|Alvará de soltura para Oruam é expedido, e cantor terá que usar tornozeleira e está proibido de ir ao Alemão; Poze vai a Bangu  |esse acessório aí é um prêmio pra ele! vai se gabar disso!|NEUTRO
1|g1|Alvará de soltura para Oruam é expedido, e cantor terá que usar tornozeleira e está proibido de ir ao Alemão; Poze vai a Bangu  |justiça de merd@, só p q rouba alimento p comer.|NEUTRO
1|g1|Alvará de soltura para Oruam é expedido, e cantor terá que usar tornozeleira e está proibido de ir ao Alemão; Poze vai a Bangu  |não adianta ele recebe droga delivery.|NEGATIVO
1|g1|Alvará de soltura para Oruam é expedido, e cantor terá que usar tornozeleira e está proibido de ir ao Alemão; Poze vai a Bangu  |isso não vai dar certo|NEUTRO
1|g1|Alvará de soltura para Oruam é expedido, e cantor terá que usar tornozeleira e está proibido de ir ao Alemão; Poze vai a Bangu  |game posted on telegram link in bio to join|NEUTRO
2|g1|Venezuela decreta estado de exceção que dá poderes especiais a Maduro em caso de ataque dos EUA  |venezuela decreta estado de exceção que dá poderes especiais a maduro em caso de ataque dos eua|NEUTRO
2|g1|Venezuela decreta estado de exceção que dá poderes especiais a Maduro em caso de ataque dos EUA  |só se for estado de exceção².|NEUTRO
2|g1|Venezuela decreta estado de exceção que dá poderes especiais a Maduro em caso de ataque dos EUA  |mais poderes?|NEUTRO
2|g1|Venezuela decreta estado de exceção que dá poderes especiais a Maduro em caso de ataque dos EUA  |está chegando a hora do maduro apodrecer, pena que vai ser por conta de outro projeto de ditador como ele.|NEUTRO
2|g1|Venezuela decreta estado de exceção que dá poderes especiais a Maduro em caso de ataque dos EUA  |trump empoderando seus desafetos.|NEUTRO
2|g1|Venezuela decreta estado de exceção que dá poderes especiais a Maduro em caso de ataque dos EUA  |"isso, aí maduro, igual aqui, defenda a ""soberania""."|NEUTRO
3|g1|"Acreana superdotada de 14 anos é aprovada em oito universidades públicas: 'Desempenho dela', diz mãe 
 "|acreana superdotada de 14 anos é aprovada em oito universidades públicas: 'desempenho dela', diz mãe|NEUTRO
3|g1|"Acreana superdotada de 14 anos é aprovada em oito universidades públicas: 'Desempenho dela', diz mãe 
 "|vamos torcer para que seja protegida dos professor militantes, que fazem lavagem cerebral em pessoas que tem uma perspectiva brilhante e transforma essas pessoas em um verdadeiro excremento social ressentido e invejoso.|POSITIVO
3|g1|"Acreana superdotada de 14 anos é aprovada em oito universidades públicas: 'Desempenho dela', diz mãe 
 "|morando no sudeste gastei mais de 2 mil reais em 6 vestibulares em 1999.  ela deve ter gastado uns 15 mil reais morando no acre.|NEUTRO
4|g1|J.K. Rowling critica Emma Watson e diz que atriz é 'ignorante' sobre questões de pessoas trans  |j.k. rowling critica emma watson e diz que atriz é 'ignorante' sobre questões de pessoas trans|NEUTRO
4|g1|J.K. Rowling critica Emma Watson e diz que atriz é 'ignorante' sobre questões de pessoas trans  |esqueceu de dizer que ela é ignorante sobre todas as outras questões também|NEUTRO
4|g1|J.K. Rowling critica Emma Watson e diz que atriz é 'ignorante' sobre questões de pessoas trans  |está certíssima. top|NEUTRO
4|g1|J.K. Rowling critica Emma Watson e diz que atriz é 'ignorante' sobre questões de pessoas trans  |a demência dela não justifica a idiotice. j. k. rowling é mais uma que já está fazendo hora-extra na terra.|NEUTRO
4|g1|J.K. Rowling critica Emma Watson e diz que atriz é 'ignorante' sobre questões de pessoas trans  |esse cancer vai matar essa fdp qnd?|NEGATIVO
4|g1|J.K. Rowling critica Emma Watson e diz que atriz é 'ignorante' sobre questões de pessoas trans  |vamos separar a artista da obra.|NEUTRO
5|g1|'BBB 26' terá ex-participantes, casas de vidro nas 5 regiões do país e chance de troca de confinados   |'bbb 26' terá ex-participantes, casas de vidro nas 5 regiões do país e chance de troca de confinados|NEUTRO
5|g1|'BBB 26' terá ex-participantes, casas de vidro nas 5 regiões do país e chance de troca de confinados   |quem assiste essa merda tem menos miolos que um pão francês.|NEGATIVO
6|g1|Leilão do Detran-SP tem Chevrolet Vectra mais barato que iPhone e VW Gol a R$ 2,9 mil  |leilão do detran-sp tem chevrolet vectra mais barato que iphone e vw gol a r$ 2,9 mil|NEUTRO
7|g1|Fachin assume presidência do STF nesta segunda e herdará mais de 3 mil processos  |fachin assume presidência do stf nesta segunda e herdará mais de 3 mil processos|NEUTRO
7|g1|Fachin assume presidência do STF nesta segunda e herdará mais de 3 mil processos  |todos eles são contra bolsonaro?|NEUTRO
7|g1|Fachin assume presidência do STF nesta segunda e herdará mais de 3 mil processos  |sai merda entra lixo|NEGATIVO
8|g1|EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino  |eua apresentam plano de paz para gaza com conselho presidido por trump, anistia ao hamas e possibilidade de estado palestino|NEUTRO
8|g1|EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino  |e alguém acredita que será bom para gaza?|NEUTRO
8|g1|EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino  |“possibilidade” pqp quem aceitar isso é louco|NEUTRO
8|g1|EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino  |presidido pelo orange man?|NEUTRO
8|g1|EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino  |bibi já aceitou|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|eua apresentam plano de paz para gaza com conselho presidido por trump, anistia ao hamas e possibilidade de estado palestino|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|tragam o nobel da paz a donald trump.|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|o financiador do genocídio tem um plano de paz e o fiador do extermínio, q disse q ia construir um resort em gaza é q vai presidir o conselho? vai dar muito certo, só não é pra palestina.|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|resumo da ópera: trump e netanyahu propõem um plano de capitulação e transformação de gaza no seu resort particular.|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|"só ""esqueceram"" de colocar na proposta uma cláusula impedindo israel tentar controlar o território e tirar os colonos de lá."|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|depois que rolou a química entre trump e lula, o cara até mais humano ficou.|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|"o interessante é: "" com possibilidade do estado palestino"". isso é uma excrescência"|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|não a nada ruim que não possa ser piorado. coitado do povo de gaza, sendo conduzido por dois fdp.|NEGATIVO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|se netanyahu tá feliz, não é bom para os palestinos|POSITIVO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|os bolsonaristas apoiando o hamas em 2,3,1|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|os caras do hamas depois de ver o plano.|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|anistia pra terrorista. a terra plana ta capotada mesmo|NEGATIVO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|anistia ao hamas? que bosta é essa? eu sou contra o estado de israel e o que eles tem feito com o povo de gaza, mas anistiar terrorista não existe. trump é um louco e já passou da hora de vestir uma camisa de força.|NEGATIVO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|hahahahahaha vamos ver como a galera que pede anistia se comporta|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|"provavelmente vão empurrar o ""novo estado palestino"" pra região mais sem recursos do território"|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|um plano genérico, cheio de meias verdades e evasivas, bem mal feito aliás, uma bela porcaria|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|está faltando um ponto: retirar os colonatos de todos os territórios palestinos e também fazer um plano de desradicalização para eles.|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|anistia ao hama?|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|aí tem.|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|certeza que empurraram condições goela abaixo nos israelenses|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|esse plano é uma piada|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|nobel da paz para trump.|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|agora deveria seguir até a criação do estado palestino.|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|nada de bom pode vir desse laranja maquiavélico.|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|esse senhor merece o nobel da paz! trump é nobel, bicho!|POSITIVO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|anistia ao hamas?! depois daquele banhodesangue q foi o 07/10/23 ! loucura completa. inaceitável. terrorista hamasento não deve sobrar um. força, israel!|NEGATIVO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|nada q este homem faz dar certo|NEUTRO
9|g1|"EUA apresentam plano de paz para Gaza com conselho presidido por Trump, anistia ao Hamas e possibilidade de Estado palestino 
 "|possibilidade? tipo possibilidade? o estado estava lá foi devastado por judeus|NEGATIVO
10|g1|"Após confusão no ringue - O ex-campeão mundial de boxe Acelino “Popó” Freitas está desde o começo da tarde desta segunda-feira (29) na sala de cirurgia de um hospital da Rede D’OR, em Salvador. A informação foi confirmada pelo g1 junto a assessoria de imprensa do atleta.

Imagens"|após confusão no ringue - o ex-campeão mundial de boxe acelino “popó” freitas está desde o começo da tarde desta segunda-feira (29) na sala de cirurgia de um hospital da rede d’or, em salvador. a informação foi confirmada pelo g1 junto a assessoria de imprensa do atleta.  imagens de raio-x, às quais o g1 teve acesso, mostram uma fratura na mão direita do atleta. a equipe de popó não detalhou a lesão, mas confirmou que ele “quebrou a mão na confusão”. a fratura é uma consequência da briga generalizada que marcou o fim da luta contra wanderlei silva, no último sábado (28), em são paulo.  o procedimento cirúrgico deve durar cerca de 2h30.  segundo a nota enviada à reportagem, popó realizou exames de cabeça, que não identificaram fraturas cranianas, embora tenha sido constatado um sangramento interno já controlado. o comunicado reforça que o lutador está clinicamente estável.  saiba mais no  .|NEGATIVO
10|g1|"Após confusão no ringue - O ex-campeão mundial de boxe Acelino “Popó” Freitas está desde o começo da tarde desta segunda-feira (29) na sala de cirurgia de um hospital da Rede D’OR, em Salvador. A informação foi confirmada pelo g1 junto a assessoria de imprensa do atleta.

Imagens"|cena animalesca que só poderia ter sido proporcionada por bolsonaristas.|NEUTRO
11|g1|"É  que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
  "|é   que a receita federal vai cobrar impostos de adultos que moram com os pais|NEUTRO
11|g1|"É  que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
  "|é fake, mas tem muito marmanjo pendurado nos pais que ficou preocupado.|NEGATIVO
11|g1|"É  que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
  "|mas o imposto sobre os cachorros eles vão colocar|NEGATIVO
11|g1|"É  que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
  "|um centro universitário com mais de 60 anos de experiência cursos de graduação; bacharelado, licenciatura, tecnólogo e pós-graduação à distância. descubra o curso ideal para você!|POSITIVO
11|g1|"É  que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
  "|a taxa das blusinhas também era|NEUTRO
11|g1|"É  que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
  "|mas seria muito bom se isso acontecesse kkk|POSITIVO
11|g1|"É  que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
  "|depois do pl vir com o ipva de bicicleta  o q me chama a atenção é como a galera da direita cai nessa  pq tem q ser muito burro né?|NEGATIVO
11|g1|"É  que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
  "|globo vem correndo defender o governo|NEUTRO
11|g1|"É  que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
  "|esse povo é muito jumentinho mesmo|NEUTRO
11|g1|"É  que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
  "|igual o fake da taxinhas da shein|NEUTRO
11|g1|"É  que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
  "|gente vamos parar de desmentir essas maluquices, deixa os caras pirarem, se jogarem da ponte, enfim.|NEUTRO
11|g1|"É  que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
  "|grupo globo fede a fezes  merdal peida pela boca|NEUTRO
11|g1|"É  que a Receita Federal vai cobrar impostos de adultos que moram com os pais 
  "|fake news é assim o sem caráter cria, o canalha espalha e o ignorante acredita e compartilha.|NEUTRO
12|g1|"Você dorme bem? Por que o sono pode ser aliado (ou vilão) do coração 
 "|você dorme bem? por que o sono pode ser aliado (ou vilão) do coração|NEUTRO
12|g1|"Você dorme bem? Por que o sono pode ser aliado (ou vilão) do coração 
 "|a millionaire living my best life, i'm giving $20k each to anyone who message me 'grace.' i understand that many people are struggling with bills, and i want to help reduce that burden|NEUTRO
13|g1|"Corpo do jornalista Paulo Soares, o 'Amigão' da ESPN, é velado em SP 
 "|corpo do jornalista paulo soares, o 'amigão' da espn, é velado em sp|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|motorista e agentes de trânsito se envolvem em briga em atibaia, sp|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|kkkkk o cara montando no grandão igual desenho animado|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|nem todo  mas sempre um nhonho|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|achei que o torresmão tinha perdido a bermuda kkkkkkkk|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|por isso que é sempre bom não andar como a cueca rasgada, já dizia minha avó.|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|o elefante mal consegue ficar em pé e quer brigar?|NEGATIVO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|só faltou alguém pra bater na mulher defendendo o escroto|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|as pessoas acham que não levar desaforo pra casa é ser violento. aí saem resolvendo bate-boca com briga e ainda apanham|NEGATIVO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|admita que você torceu pela briga|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|kkkkkkkkk buscou o contato…|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|o grandão pediu pra apanhar, inacreditável kkkkkkkk|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|digno de um episódio de os trapalhões!|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|o gordão se achando o hulk. tomou uma surra e amansou na hora.|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|olha o nível da ignorância, da intolerância e do ódio  vai ser preciso muito trabalho e muita pacificação no brasil pós bozo.|NEGATIVO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|os guardinhas vão perder o emprego e o mamute vai processar o estado.|NEGATIVO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|depois de 2018 as pessoas começaram a serem ridículas. que tristeza esse caos no meu lindo país.|NEGATIVO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|gordão passou vergonha na frente da esposa e ainda vai levar um processo criminal, boa porpeta resolve tudo igual um macaco que dá certo|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|rapaziada precisa aprender a lutar ou o basico de defesa pessoal kkkkkk pqp|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|kkkkkkkkk o cara parece um elefante|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|o algoritmo hoje resolveu entregar briga, acidente  os preparativos pra guerra ta começando|NEGATIVO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|o pior é achar que está certo … só pq tem um carro mais caro, mora num lugarzinho melhor acha que é melhor que todo mundo … o mundo tá perdido.|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|"cara a cada dia a ""humanidade"" , definha um pouco maís  chega a ser engraçado"|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|uns homi bosta que nem sabe brigar kkkkk|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|impressiona o preparo.|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|procurou e achou. simples assim!  pessoal tem que começar a entender que vc ser grande por ser gordo, não significa tbm que você é forte.|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|um arrombado desse ainda quer ter razão. apanhou foi pouco.|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|gordão agressor de funça herói nacional.|NEUTRO
14|g1|"Motorista e agentes de trânsito se envolvem em briga em Atibaia, SP 
 "|parabéns para o cinegrafista|POSITIVO
15|g1|"João-de-barro constrói 'condomínio' em escada de reservatório abandonado em MS 
 "|joão-de-barro constrói 'condomínio' em escada de reservatório abandonado em ms|NEUTRO
15|g1|"João-de-barro constrói 'condomínio' em escada de reservatório abandonado em MS 
 "|o boulos vendo isso|NEUTRO
15|g1|"João-de-barro constrói 'condomínio' em escada de reservatório abandonado em MS 
 "|boulos quer invadir|NEUTRO
15|g1|"João-de-barro constrói 'condomínio' em escada de reservatório abandonado em MS 
 "|bom esconder da galera do mst|NEUTRO
15|g1|"João-de-barro constrói 'condomínio' em escada de reservatório abandonado em MS 
 "|moraes diz que eduardo está no exterior para fugir da lei e adota cooperação internacional pra notificar de denúncia|NEUTRO
15|g1|"João-de-barro constrói 'condomínio' em escada de reservatório abandonado em MS 
 "|oficial! palmeiras acerta renovação de contrato com o lateral-direito giay até 2030.   sep|NEUTRO
15|g1|"João-de-barro constrói 'condomínio' em escada de reservatório abandonado em MS 
 "|apple ameaça sair da ue caso comissão europeia não revogue legislação contra as big techs  a lei de mercados digitais destina-se a combater o monopólio e regular o poder guardião das empresas digitais, como mecanismos de busca, provedores de aplicativos e serviços de|NEUTRO
16|g1|"Registro raro: cobras são filmadas 'brigando' durante passeio em Bonito 
 "|registro raro: cobras são filmadas 'brigando' durante passeio em bonito|NEUTRO
16|g1|"Registro raro: cobras são filmadas 'brigando' durante passeio em Bonito 
 "|pressão cresce sobre senador em esquema de fraudes do inss claudiodantas. -cresce … via|NEGATIVO
16|g1|"Registro raro: cobras são filmadas 'brigando' durante passeio em Bonito 
 "|"trump: ""ouvi dizer que hamas quer fechar acordo"" sobre gaza"|POSITIVO
16|g1|"Registro raro: cobras são filmadas 'brigando' durante passeio em Bonito 
 "|grande sp tem terceira morte por suspeita de intoxicação por metanol, diz prefeitura de são bernardo|NEGATIVO
17|g1|"Passageiro é morto por motorista de ônibus após briga por ponto na Zona Sul de SP 
 "|passageiro é morto por motorista de ônibus após briga por ponto na zona sul de sp|NEGATIVO
17|g1|"Passageiro é morto por motorista de ônibus após briga por ponto na Zona Sul de SP 
 "|que loucura|NEUTRO
21|g1|"'BC não pode agir com emoção': Galípolo explica por que Copom manteve Selic a 15% 
 "|'bc não pode agir com emoção': galípolo explica por que copom manteve selic a 15%|NEUTRO
21|g1|"'BC não pode agir com emoção': Galípolo explica por que Copom manteve Selic a 15% 
 "|mas quem mantém a taxa de juros nas alturas não é fascista, inimigo do povo e lacaio dos rentistas? por que painho não massacra ele igual fez com o rcn?|NEGATIVO
21|g1|"'BC não pode agir com emoção': Galípolo explica por que Copom manteve Selic a 15% 
 "|this is america       brother  com trump, bandidagem não se cria a única diferença é que in us os esquerdopata$ são bonitos  já na américa latina é um haloween aterrorizante|NEGATIVO
23|g1|"Chefe de facção em MT preso em praia do RJ foi abordado por policiais à paisana 
 "|chefe de facção em mt preso em praia do rj foi abordado por policiais à paisana|NEGATIVO
24|g1|"Piloto cai durante salto em competição de motocross e é atingido por outro atleta 
 "|piloto cai durante salto em competição de motocross e é atingido por outro atleta|NEUTRO
25|g1|"GCM em SP apreende mais motos em 27 dias do que nos 8 meses anteriores a anúncio de bônus por produtividade 
 "|gcm em sp apreende mais motos em 27 dias do que nos 8 meses anteriores a anúncio de bônus por produtividade|POSITIVO
26|g1|"Adolescente sai ileso após ser atropelado ao atravessar a rua em Amparo, SP 
 "|adolescente sai ileso após ser atropelado ao atravessar a rua em amparo, sp|NEUTRO
27|g1|"Mulher detecta no sangue seis tipos substâncias tóxicas conhecidas como ‘contaminantes eternos' 
 "|mulher detecta no sangue seis tipos substâncias tóxicas conhecidas como ‘contaminantes eternos'|NEUTRO
28|g1|"Extrato de cannabis reduz dor lombar crônica sem risco de dependência, mostra estudo clínico 
 "|extrato de cannabis reduz dor lombar crônica sem risco de dependência, mostra estudo clínico|NEGATIVO
29|g1|"Salgueiro escolhe samba-enredo para o carnaval de 2026 
 "|salgueiro escolhe samba-enredo para o carnaval de 2026|NEUTRO
30|g1|"Grande SP tem terceira morte suspeita por intoxicação por metanol, diz Prefeitura de São Bernardo 
 "|grande sp tem terceira morte suspeita por intoxicação por metanol, diz prefeitura de são bernardo|NEGATIVO
